mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07849922180175781,0.010222999294449047,0.005414628982543945,0.0015025391163428162,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9493006993006993,0.8662587412587411,0.7827272727272727,0.9554545454545454,0.8663003663003663,0.884008325008325,0.06364609592556159,79
0.1619100570678711,0.012783257992851715,0.005579757690429688,0.0018764704810043603,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9562937062937062,0.8872377622377622,0.7845454545454544,0.9518181818181818,0.8516483516483516,0.8863086913086912,0.0644163866480537,76
0.22613320350646973,0.006624312916776265,0.013830804824829101,0.004921169453491572,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9571678321678322,0.8846153846153846,0.7872727272727273,0.9636363636363636,0.8452380952380952,0.8875860805860805,0.06706744583740444,72
0.08333139419555664,0.010395195751525204,0.0036981582641601564,0.0012450612703674743,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9527972027972028,0.8863636363636364,0.7727272727272727,0.9527272727272728,0.8882783882783882,0.8905787545787545,0.06579605503074157,48
0.15170035362243653,0.010562591600204205,0.006307458877563477,0.002020725708101234,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9597902097902098,0.8933566433566433,0.7836363636363636,0.9545454545454546,0.8754578754578755,0.8933573093573093,0.06405684200107853,22
0.23665332794189453,0.01157739792377999,0.008169126510620118,0.0015256929463081592,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9545454545454546,0.8933566433566433,0.7818181818181819,0.9563636363636363,0.8681318681318682,0.8908431568431567,0.0644352099363743,46
0.07415208816528321,0.007991380263610438,0.004013538360595703,0.0009476655611894446,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.9475524475524475,0.8793706293706294,0.7781818181818182,0.9672727272727273,0.8791208791208791,0.8902997002997003,0.06635895429299248,52
0.15298376083374024,0.012587911356859252,0.006273841857910157,0.0033097546636316174,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.9615384615384617,0.8846153846153846,0.7781818181818182,0.9654545454545455,0.8553113553113553,0.8890203130203129,0.07005989282670995,64
0.22431659698486328,0.015442722550528008,0.007904815673828124,0.0022365915199260415,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.9632867132867133,0.8898601398601399,0.7763636363636364,0.9636363636363636,0.858974358974359,0.8904242424242426,0.07023985989192973,50
0.08244972229003907,0.008763028701013984,0.004112052917480469,0.0019073331379261054,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9423076923076923,0.8846153846153846,0.7854545454545454,0.9545454545454545,0.8663003663003663,0.8866446886446887,0.0606074889630529,74
0.15904474258422852,0.014774330279297513,0.006336402893066406,0.00287096454531387,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9545454545454546,0.8968531468531469,0.7854545454545455,0.9618181818181818,0.8644688644688645,0.8926280386280385,0.064680739909825,28
0.23028063774108887,0.01656015494971517,0.010047483444213866,0.0023830448300675745,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.958041958041958,0.8933566433566433,0.7890909090909091,0.9618181818181818,0.8553113553113553,0.8915238095238095,0.06507405484459478,39
0.08440146446228028,0.016321138962915285,0.004142951965332031,0.002383323982883098,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9475524475524475,0.8863636363636364,0.8054545454545454,0.9618181818181818,0.8791208791208791,0.8960619380619381,0.055795900009783315,1
0.15373821258544923,0.022561324676556957,0.007171726226806641,0.0009870463361843203,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9562937062937064,0.8916083916083917,0.7945454545454546,0.9654545454545455,0.86996336996337,0.8955730935730936,0.06236757295062971,4
0.22760839462280275,0.015100380798997603,0.008223438262939453,0.003253294862861706,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.958041958041958,0.8881118881118881,0.7981818181818182,0.9654545454545455,0.8626373626373627,0.8944855144855145,0.06229824184561672,14
0.081364107131958,0.011906755435202645,0.004097747802734375,0.002018412463029803,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.9562937062937062,0.8916083916083917,0.7781818181818182,0.96,0.86996336996337,0.8912094572094572,0.06662567194762592,41
0.1648775577545166,0.0017195184067914173,0.006003618240356445,0.000990345216436856,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.9615384615384615,0.8951048951048951,0.7854545454545455,0.9618181818181818,0.8626373626373626,0.8933106893106894,0.06621982383544471,24
0.21835885047912598,0.015564793815344641,0.006989765167236328,0.0013635782931899858,,2,10,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.9615384615384615,0.8968531468531469,0.78,0.9636363636363636,0.8608058608058607,0.8925667665667666,0.06856586244030323,30
0.07586822509765626,0.007992737969153615,0.00364532470703125,0.0009292469700011018,,4,2,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.9527972027972029,0.8828671328671328,0.7745454545454545,0.9618181818181818,0.8717948717948718,0.8887645687645687,0.06753630878238912,66
0.1491025924682617,0.015801165933707315,0.005620384216308593,0.0017664973076545506,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.9615384615384616,0.8933566433566433,0.7872727272727272,0.96,0.858974358974359,0.8922284382284381,0.06560437761652682,33
0.2310262680053711,0.02062232589636174,0.007853507995605469,0.0019649246736590012,,4,2,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",0.9615384615384615,0.8968531468531469,0.7909090909090909,0.9636363636363636,0.8626373626373627,0.8951148851148851,0.06484434144916137,9
0.07476639747619629,0.008969907328585403,0.004846763610839844,0.003301245443170571,,4,5,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.9527972027972029,0.8828671328671328,0.7745454545454545,0.9618181818181818,0.8717948717948718,0.8887645687645687,0.06753630878238912,66
0.14525012969970702,0.009014986202734289,0.004893779754638672,0.0010249304861020192,,4,5,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.9615384615384616,0.8933566433566433,0.7872727272727272,0.96,0.858974358974359,0.8922284382284381,0.06560437761652682,33
0.2493070125579834,0.012703831043534865,0.006797218322753906,0.001957145645456842,,4,5,300,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 300}",0.9615384615384615,0.8968531468531469,0.7909090909090909,0.9636363636363636,0.8626373626373627,0.8951148851148851,0.06484434144916137,9
0.07695345878601074,0.014757985936014295,0.004992294311523438,0.0038292587931942753,,4,10,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.9615384615384615,0.8881118881118881,0.7890909090909092,0.9636363636363636,0.8681318681318682,0.8941018981018981,0.06499286495406725,17
